I apologize for the oversight in the numbering and continuity of the Short Answer questions in the previous response. Here is the complete and corrected list of 54 practice short answer questions, covering all necessary topics for your final exam.
Practice Short Answer Questions (54 Questions Total)
Topic 1: ML Introduction, Data, and Preprocessing (12 Questions)
ID
	Topic
	Question
	Reasoning
	SA 1
	ML Intro
	Define Machine Learning (ML) using the framework involving performance, task, and experience.
	ML is the study of algorithms that improve their performance at some task with experience.
	SA 2
	ML Intro
	Explain the difference between supervised and unsupervised learning, providing one example of a task for each.
	Supervised learning uses labeled examples to learn a model that generalizes to unseen examples (e.g., Classification). Unsupervised learning uses unlabeled data to learn a model that identifies structure in the data (e.g., Clustering).
	SA 3
	Data Stats
	Describe the key statistical differences between a symmetric data distribution and a positively skewed distribution in terms of their mean, median, and mode.
	In a symmetric distribution, the mean, median, and mode are approximately equal. In a positively skewed distribution, the mean is generally greater than the median, and the mode is typically the smallest measure (the distribution trails off towards larger values).
	SA 4
	Data Viz
	Explain why correlation does not imply causation, drawing on a visualization concept discussed in the course.
	Although good visualization helps correlations stand out, correlation $\neq$ causation. The Anscombe's Quartet showed that datasets can yield the same standard statistical summaries (like mean, variance, and regression coefficients) but look very different visually when plotted, highlighting that correlation alone does not prove a causal connection.
	SA 5
	Data Prep
	Identify and briefly describe two data normalization methods used in data preprocessing, explaining the primary goal of each.
	1. Min-max normalization: Scales values to a new specific range (e.g., $[0.0, 1.0]$). The primary goal is to bring data to a common range and ensure consistency, preventing larger range features from dominating computations. 2. Z-score normalization: Centers the data (subtracts the mean) and scales it (divides by the standard deviation). This standardizes the data distribution to avoid artifacts caused by a large mean or deviation affecting computations.
	SA 6
	Data Prep
	Why is the Mean Squared Error (MSE) of an estimator typically high for simple models (underfitting) and high-complexity models (overfitting)? Relate your answer to the Bias-Variance Decomposition.
	MSE (E[$(y - h(x))^2$]) can be decomposed into bias$^2$ + variance + unavoidable error. Simple models (underfitting) have high bias (due to being too simple). High-complexity models (overfitting) have high variance (being too sensitive to training noise). Both result in a high total error.
	SA 7
	Data Prep
	Describe the Curse of Dimensionality, focusing on its impact on distance-based algorithms like k-NN.
	The Curse of Dimensionality refers to the phenomenon where, as dimensionality increases, data becomes increasingly sparse. This causes density and distance between points to become less meaningful. For k-NN, this means the distance between neighbors can be dominated by irrelevant attributes, making it hard to effectively identify true nearest neighbors.
	SA 8
	Clustering
	Explain the concepts of density-reachable and density-connected points in DBSCAN, and state which one is symmetric and why symmetry is important for cluster definition.
	Density-reachable requires a chain of points where each successive point is directly density-reachable from a core point. This relationship is not symmetric. Density-connected is symmetric, stating that two points $p$ and $q$ are density-connected if there is a point $o$ from which both $p$ and $q$ are density-reachable. The symmetric notion of density-connectedness is necessary to properly define a cluster as a maximal set of density-connected points.
	SA 9
	Sampling
	You are analyzing a data stream and need a representative sample of size $M$. Explain how Reservoir Sampling works and why it is preferable to simply taking the first $M$ items.
	Reservoir Sampling is designed for data streams where the full size $N$ is unknown. It ensures that every item encountered has a uniform probability $M/N$ of being in the final sample. It is preferable because simply taking the first $M$ items would result in a potentially biased sample.
	SA 10
	Data Prep
	Give an example scenario of data integration and explain the challenge of entity identification.
	Data integration combines data from multiple sources. An example scenario is merging two customer databases where the same person is identified differently (e.g., "Bill Clinton" versus "William Clinton"). The entity identification/resolution challenge is recognizing that these different representations refer to the same real-world entity.
	SA 11
	Sampling
	When and why is Stratified Sampling preferable to Simple Random Sampling?
	Stratified sampling is preferable when the data is skewed or exhibits class imbalance. It partitions the data (e.g., by class) and draws proportional samples from each partition. This ensures proportional representation from every class/category, whereas simple random sampling may have very poor performance in the presence of skew.
	SA 12
	Data Dist
